2025/01/23 04:16:36 FCS_263_InstaKYC_API Server Started in :28595 ...
2025/01/23 04:45:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:46:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:46:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:46:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:46:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:46:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:46:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:47:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:47:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:47:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:47:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:47:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:47:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:48:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:48:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:48:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:48:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:48:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:48:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:49:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:49:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:49:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:49:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:49:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:49:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:50:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:50:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:50:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:50:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:50:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:50:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:51:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:51:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:51:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:51:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:51:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:51:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:52:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:52:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:52:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:52:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:52:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:52:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:53:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
